objectid,Parish,County,Major social category,Category sub group,Quantity_Period_A (To AD 260),Quantity_Period_B  (AD 260-296),Quantity_Period_C (AD 296-330),Quantity_Period_D (AD 330-364),Quantity_Period_E (AD 364-402),Total quantity (ABCDE),lat,long
1,Bath,Bath and North East Somerset,Nucleated,Temple,6220,1924,445,2118,314,11021,51.38058,-2.360902
2,Radstock,Bath and North East Somerset,Nucleated,Undefended,94,476,48,482,55,1155,51.29130173,-2.44689012
3,Hinton_Charterhouse,Bath and North East Somerset,Rural,Farmstead,2,4,0,12,7,25,51.32640076,-2.32027006
4,Saltford,Bath and North East Somerset,PAS Rural,,6,80,22,48,7,163,51.40259933,-2.46071005
5,Chew_Stoke,Bath and North East Somerset,Rural,Temple,0,57,18,83,68,226,51.34970093,-2.64164996
6,Charlcombe,Bath and North East Somerset,Nucleated,Undefended,4,19,18,113,31,185,51.41450119,-2.38560009
7,Stowey-Sutton,Bath and North East Somerset,Rural,Farmstead,9,32,17,74,3,135,51.33380127,-2.59351993
8,Timsbury,Bath and North East Somerset,PAS Rural,,36,18,6,8,1,69,51.32649994,-2.48112988
9,Combe_Hay,Bath and North East Somerset,Rural,Farmstead,1,13,3,8,10,35,51.34249878,-2.38399005
53,Odell,Bedfordshire,PAS Rural,,20,255,29,122,81,507,52.21820068,-0.5959
54,Maulden,Bedfordshire,PAS Rural,,30,66,22,89,17,224,52.02880096,-0.45545
55,Bletsoe,Bedfordshire,PAS Rural,,25,60,20,97,80,282,52.2201004,-0.49642
56,Stagsden,Bedfordshire,PAS Rural,,13,17,18,30,20,98,52.13029861,-0.57257003
57,Harrold,Bedfordshire,Rural,Industrial,2,14,14,38,56,124,52.20460129,-0.63556999
58,Melchbourne_and_Yielden,Bedfordshire,PAS Rural,,7,7,11,26,2,53,52.28469849,-0.50129002
59,Stewartby,Bedfordshire,Rural,Farmstead,7,25,0,1,0,33,52.07740021,-0.50909001
60,Podington,Bedfordshire,PAS Rural,,19,24,11,37,36,127,52.24959946,-0.61778998
61,Streatley,Bedfordshire,PAS Rural,,21,77,11,15,5,129,51.94319916,-0.42774999
62,Sandy,Bedfordshire,Nucleated,Defended vici,123,317,10,268,422,1140,52.13079834,-0.27020001
63,Knotting_and_Souldrop,Bedfordshire,PAS Rural,,6,14,8,14,7,49,52.25170135,-0.53864002
64,Sharnbrook,Bedfordshire,PAS Rural,,11,26,8,41,16,102,52.22650146,-0.54101998
65,Tilsworth,Bedfordshire,PAS Rural,,16,26,8,9,3,62,51.91009903,-0.57137001
66,Silsoe,Bedfordshire,PAS Rural,,10,20,7,4,5,46,52.00320053,-0.42418
67,Kempston,Bedfordshire,Nucleated,Undefended,48,180,7,198,192,625,52.11769867,-0.49970001
68,Wilshamstead,Bedfordshire,PAS Rural,,0,9,6,12,6,33,52.08169937,-0.43087
69,Houghton_Conquest,Bedfordshire,PAS Rural,,4,11,6,5,1,27,52.06570053,-0.47804999
70,"Wyboston,_Chawston_and_Colesden",Bedfordshire,PAS Rural,,5,6,6,47,32,96,52.19329834,-0.32306001
71,Stanbridge,Bedfordshire,PAS Rural,,2,19,5,13,6,45,51.90280151,-0.60663003
72,Dean_and_Shelton,Bedfordshire,PAS Rural,,5,13,5,12,2,37,52.30410004,-0.46250999
73,Willington,Bedfordshire,PAS Rural,,5,28,4,17,8,62,52.13079834,-0.36994001
74,Bolnhurst_and_Keysoe,Bedfordshire,PAS Rural,,8,10,4,14,19,55,52.23649979,-0.42684001
75,Renhold,Bedfordshire,Rural,Farmstead,0,15,3,14,4,36,52.15879822,-0.40555
76,Wilden,Bedfordshire,PAS Rural,,6,9,3,8,4,30,52.18740082,-0.39366999
77,Stondon,Bedfordshire,PAS Rural,,8,23,3,7,9,50,51.99599838,-0.31941
78,Shillington,Bedfordshire,PAS rural,,22,36,3,23,9,93,51.97740173,-0.37252
79,Wrestlingworth_and_Cockayne_Hatley,Bedfordshire,PAS Rural,,1,15,2,34,35,87,52.11759949,-0.16884001
80,Flitwick,Bedfordshire,PAS Rural,,7,5,1,11,9,33,52.00270081,-0.50415999
81,Ravensden,Bedfordshire,PAS rural,,13,14,1,16,3,47,52.17990112,-0.4445
182,Crowthorne,Berkshire,Nucleated,Undefended,35,42,13,8,9,107,51.375,-0.76064998
192,Stantonbury,Buckinghamshire,Rural,Villa,22,78,89,616,170,975,52.06209946,-0.77398998
193,Fleet_Marston,Buckinghamshire,PAS Rural,,38,159,39,182,167,585,51.83980179,-0.87435001
194,Haversham-cum-Little_Linford,Buckinghamshire,PAS Rural,,32,134,32,319,188,705,52.08660126,-0.78307003
195,Berryfields_Quarrendon,Buckinghamshire,Nucleated,Undefended,13,57,31,84,59,244,51.83959961,-0.85391998
196,Creslow,Buckinghamshire,PAS Rural,,31,65,27,90,29,242,51.88899994,-0.81652999
197,Aylesbury,Buckinghamshire,Nucleated,Undefended,23,58,20,64,22,187,51.81340027,-0.80321002
198,Bletchley_and_Fenny_Stratford,Buckinghamshire,Nucleated,Defended vici,7,27,18,105,28,185,51.99309921,-0.72871
199,Buckingham,Buckinghamshire,Rural,Temple,12,24,9,136,42,223,51.99720001,-0.97240001
200,Wing,Buckinghamshire,PAS Rural,,19,9,8,13,1,50,51.89759827,-0.73097003
201,Charndon,Buckinghamshire,PAS Rural,,5,6,7,8,2,28,51.91189957,-1.03118002
202,Cold_Brayfield,Buckinghamshire,PAS Rural,,6,13,7,38,36,100,52.16329956,-0.64528
203,Whitchurch,Buckinghamshire,PAS Rural,,10,7,7,31,9,64,51.88079834,-0.83901
204,Hardwick,Buckinghamshire,PAS rural,,4,6,6,14,13,43,51.86240005,-0.84342998
205,Hanslope,Buckinghamshire,PAS Rural,,10,10,6,33,6,65,52.12269974,-0.82757002
206,Chenies,Buckinghamshire,Rural,Villa,26,31,6,5,2,70,51.67060089,-0.53562999
207,Amersham,Buckinghamshire,Rural,Farmstead,4,24,5,41,30,104,51.66699982,-0.62318999
208,Kingsey,Buckinghamshire,PAS Rural,,6,11,5,15,10,47,51.75310135,-0.92041999
209,Haddenham,Buckinghamshire,PAS rural,,9,16,5,32,30,92,51.77360153,-0.93041998
210,Quainton,Buckinghamshire,PAS Rural,,1,2,4,17,5,29,51.8791008,-0.93668002
211,West_Bletchley,Buckinghamshire,Rural,Farmstead,3,15,4,4,0,26,51.99850082,-0.75439
212,Drayton_Beauchamp,Buckinghamshire,Rural,Farmstead,0,11,2,6,9,28,51.80379868,-0.69602001
213,Great_Linford,Buckinghamshire,Rural,Farmstead,0,3,2,19,2,26,52.06620026,-0.74576002
214,Stone_with_Bishopstone_and_Hartwell,Buckinghamshire,PAS Rural,,6,20,2,34,10,72,51.79909897,-0.84790999
215,Walton,Buckinghamshire,Rural,Farmstead,28,19,2,30,16,95,52.01689911,-0.69270003
216,Broughton,Buckinghamshire,Rural,Farmstead,36,55,2,24,21,138,52.05070114,-0.68689001
385,Colne,Cambridgeshire,Nucleated,Undefended,61,426,169,926,428,2010,52.36999893,0.004871
386,Wimblington,Cambridgeshire,Nucleated,Undefended,350,356,71,207,101,1085,52.50780106,0.119509
387,Water_Newton,Cambridgeshire,Urban,Civitas capital,104,419,68,645,375,1611,52.55199814,-0.36579999
388,Offord_Cluny_and_Offord_D'Arcy,Cambridgeshire,PAS Rural,,22,126,58,447,227,880,52.27870178,-0.20139
389,Knapwell,Cambridgeshire,PAS Rural,,41,68,53,102,8,272,52.23389816,-0.05495
390,Pidley_cum_Fenton,Cambridgeshire,PAS Rural,,47,100,48,58,19,272,52.38729858,-0.03866
391,Histon,Cambridgeshire,PAS Rural,,19,53,41,103,60,276,52.25669861,0.107599
392,Orton_Waterville,Cambridgeshire,PAS rural,,3,22,0,46,45,116,52.55130005,-0.30961999
393,Castle_Camps,Cambridgeshire,PAS Rural,,19,53,28,44,15,159,52.05810165,0.36344501
394,West_Wickham,Cambridgeshire,PAS Rural,,8,38,24,132,21,223,52.11729813,0.35558999
395,Weston_Colville,Cambridgeshire,PAS Rural,,38,36,20,163,138,395,52.15159988,0.360502
396,Boxworth,Cambridgeshire,PAS Rural,,5,46,19,51,21,142,52.24850082,-0.03206
397,Cambridge,Cambridgeshire,Nucleated,Defended vici,73,92,18,82,94,359,52.204862,0.11968025
398,West_Wratting,Cambridgeshire,PAS Rural,,14,17,16,41,33,121,52.14509964,0.33069101
399,Whittlesford,Cambridgeshire,PAS Rural,,24,89,16,38,35,202,52.11000061,0.141754
400,Alconbury_Weston,Cambridgeshire,PAS Rural,,9,18,15,53,28,123,52.37919998,-0.27697
401,Carlton,Cambridgeshire,PAS rural,,5,24,14,105,46,194,52.1590004,0.38108
402,Ellington,Cambridgeshire,PAS Rural,,2,13,12,13,5,45,52.33160019,-0.2931
403,Buckden,Cambridgeshire,PAS Rural,,6,41,12,85,75,219,52.29669952,-0.25202999
404,Soham,Cambridgeshire,PAS Rural,,20,46,12,42,19,139,52.36130142,0.31648901
405,Great_and_Little_Chishill,Cambridgeshire,PAS Rural,,38,25,12,16,8,99,52.03070068,0.064709
406,Longstanton,Cambridgeshire,PAS Rural,,3,18,11,53,54,139,52.28160095,0.046398
407,Whittlesey,Cambridgeshire,Nucleated,Undefended,6,28,10,7,6,57,52.54230118,-0.10487
408,Foxton,Cambridgeshire,PAS Rural,,20,26,10,17,6,79,52.11619949,0.064816
409,Godmanchester,Cambridgeshire,Nucleated,Defended vici,25,51,10,63,61,210,52.30550003,-0.17395
410,Haddenham,Cambridgeshire,Rural,Temple,11,42,9,9,0,71,52.35189819,0.104501
411,Heydon,Cambridgeshire,PAS Rural,,15,19,9,11,1,55,52.05160141,0.0817
412,Chesterton,Cambridgeshire,PAS Rural,,8,21,8,69,24,130,52.54349899,-0.34237
413,Somersham,Cambridgeshire,PAS Rural,,11,26,8,63,35,143,52.38169861,-0.00484
414,Harlton,Cambridgeshire,PAS Rural,,1,15,6,36,55,113,52.15869904,0.028711
415,The_Stukeleys,Cambridgeshire,PAS rural,,5,11,6,17,15,54,52.35810089,-0.21619
416,Wimpole,Cambridgeshire,Nucleated,Undefended,11,12,6,34,20,83,52.13790131,-0.04923
417,Sawtry,Cambridgeshire,Nucleated,Undefended,11,49,5,69,22,156,52.42520142,-0.27548999
418,Cambourne,Cambridgeshire,Rural,Farmstead,13,36,5,19,41,114,52.21569824,-0.06914
419,March,Cambridgeshire,Nucleated,Undefended,19,8,0,4,6,37,52.5522995,0.068463
420,Melbourn,Cambridgeshire,PAS Rural,,18,18,5,17,6,64,52.07180023,0.01648
421,Haddon,Cambridgeshire,Rural,Farmstead,0,47,4,22,5,78,52.52399826,-0.32709
422,Covington,Cambridgeshire,PAS Rural,,1,2,4,44,18,69,52.32889938,-0.44727001
423,Little_Eversden,Cambridgeshire,PAS Rural,,2,39,4,61,59,165,52.16139984,0.006802
424,Great_Eversden,Cambridgeshire,PAS Rural,,2,15,4,19,22,62,52.16400146,-0.01713
425,Over,Cambridgeshire,PAS Rural,,3,9,4,42,57,115,52.3227005,0.022939
426,Glinton,Cambridgeshire,PAS Rural,,4,11,4,10,12,41,52.63809967,-0.30024999
427,Peterborough,Cambridgeshire,Rural,Villa,5,25,4,39,7,80,52.572509,-0.24249764
428,Bythorn_and_Keyston,Cambridgeshire,PAS Rural,,6,8,4,21,2,41,52.36029816,-0.46467999
429,Littleport,Cambridgeshire,PAS Rural,,7,12,4,8,5,36,52.4715004,0.326662
430,Elsworth,Cambridgeshire,PAS Rural,,0,3,3,19,5,30,52.24919891,-0.08093
431,Yaxley,Cambridgeshire,Rural,Farmstead,3,35,3,41,9,91,52.51139832,-0.24129
432,Fulbourn,Cambridgeshire,PAS Rural,,4,6,3,15,6,34,52.17770004,0.22216301
433,Croydon,Cambridgeshire,PAS Rural,,9,7,3,12,2,33,52.13439941,-0.09369
434,Fordham,Cambridgeshire,PAS Rural,,11,9,3,2,11,36,52.30970001,0.379861
435,Burwell,Cambridgeshire,PAS Rural,,11,8,3,2,3,27,52.28779984,0.31177899
436,Duxford,Cambridgeshire,PAS rural,,15,2,3,8,1,29,52.08169937,0.142009
437,Chatteris,Cambridgeshire,Nucleated,Undefended,53,23,3,5,8,92,52.45320129,0.047571
438,Great_Staughton,Cambridgeshire,Rural,Villa,0,1,2,318,4,325,52.26520157,-0.34274
439,Babraham,Cambridgeshire,Rural,Farmstead,0,1,2,56,5,64,52.14160156,0.202406
440,Diddington,Cambridgeshire,Rural,Farmstead,1,18,2,6,1,28,52.2765007,-0.25299001
441,Gamlingay,Cambridgeshire,PAS Rural,,2,14,2,7,3,28,52.1548996,-0.18294001
442,Reach,Cambridgeshire,PAS rural,,3,17,2,4,3,29,52.27330017,0.293533
443,Dry_Drayton,Cambridgeshire,Rural,Farmstead,4,39,2,16,5,66,52.23310089,0.017193
444,Ely,Cambridgeshire,Rural,Farmstead,6,11,2,7,3,29,52.40530014,0.320618
445,Hampton_Hargate_and_Vale,Cambridgeshire,Rural,Farmstead,8,16,2,15,10,51,52.5367012,-0.26819
446,Chippenham,Cambridgeshire,PAS Rural,,0,5,1,3,17,26,52.29309845,0.446327
447,Landbeach,Cambridgeshire,Rural,Farmstead,2,22,1,2,0,27,52.27170181,0.16077299
448,Huntingdon,Cambridgeshire,Rural,Villa,3,4,1,26,6,40,52.34249878,-0.18208
449,Easton,Cambridgeshire,PAS Rural,,5,20,1,11,24,61,52.32519913,-0.32852
450,Kimbolton,Cambridgeshire,PAS rural,,9,18,1,15,16,59,52.30350113,-0.38106
451,Isleham,Cambridgeshire,PAS Rural,,21,42,1,44,27,135,52.34629822,0.403409
452,Ailsworth,Cambridgeshire,Urban,Civitas capital,22,31,1,55,37,146,52.57839966,-0.35602
650,Carmarthen,Carmarthenshire,Urban,Civitas capital,98,14,7,5,2,126,51.85559845,-4.33751011
773,Chester_City,Cheshire,Military,Pennines,845,299,158,183,64,1549,53.190204,-2.8916436
774,Goostrey,Cheshire,PAS rural,,11,33,8,48,16,116,53.23619843,-2.33398008
775,Nantwich,Cheshire,Nucleated,Undefended,33,3,0,2,0,38,53.06790161,-2.51828003
776,Marbury_cum_Quoisley,Cheshire,PAS Rural,,11,4,3,3,7,28,53.00669861,-2.65140009
777,Plumley,Cheshire,PAS Rural,,86,0,0,0,0,86,53.27220154,-2.41763997
778,Middlewich,Cheshire,Nucleated,Undefended,137,7,2,4,0,150,53.18579865,-2.43606997
1042,Bristol,City of Bristol,Nucleated,Undefended,209,196,74,298,93,870,51.453134,-2.6009817
1043,Plymouth,City of Plymouth,Nucleated,Undefended,26,10,1,6,3,46,,
1044,Abergele,Conwy,Nucleated,Undefended,8,105,19,123,8,263,53.27640152,-3.5671699
1045,Caerhun,Conwy,Military,Wales,24,0,0,1,1,26,53.19480133,-3.89393997
1079,Newquay,Cornwall,Other,Hillfort,6,3,8,72,56,145,50.42409897,-5.04861021
1080,Hayle,Cornwall,PAS Rural,,10,17,6,15,8,56,50.18740082,-5.40129995
1081,Sennen,Cornwall,PAS rural,,25,14,0,2,2,43,50.07279968,-5.68804979
1082,Maker-with-Rame,Cornwall,PAS Rural,,40,6,3,3,7,59,50.33589935,-4.21455002
1083,Ludgvan,Cornwall,PAS Rural,,199,11,3,7,2,222,50.15719986,-5.48413992
1084,St._Levan,Cornwall,PAS Rural,,93,20,0,10,0,123,50.05260086,-5.6687398
1085,Padstow,Cornwall,PAS Rural,,21,3,1,4,2,31,50.5379982,-4.96321011
1292,Binchester,County Durham,Military,Pennines,118,76,116,442,15,767,54.676489,-1.6765341
1293,Piercebridge,County Durham,Military,Pennines,1914,1795,57,700,201,4667,54.54529953,-1.68850994
1294,Hawthorn,County Durham,PAS Rural,,2,47,8,37,13,107,54.80749893,-1.33945
1295,Chester_Le_Street,County Durham,Nucleated,Undefended,53,47,2,29,7,138,54.859314,-1.5743208
1296,Rokeby,County Durham,Military,Pennines,19,10,1,0,0,30,54.51660156,-1.87530005
1463,Carlisle,Cumbria,Urban,Civitas capital,766,703,118,368,118,2073,54.89262,-2.9330189
1464,Maryport,Cumbria,Military,Hadrian's Wall,175,59,31,21,12,298,54.69480133,-3.49913001
1465,Waterhead,Cumbria,Military,Hadrian's Wall,103,58,18,50,22,251,54.99599838,-2.60698009
1466,Walton,Cumbria,Military,Hadrian's Wall,60,4,17,8,7,96,54.98540115,-2.75434995
1467,Bewcastle,Cumbria,Military,Hadrian's Wall,12,17,0,0,0,29,55.11980057,-2.69869995
1468,Brough,Cumbria,Military,Pennines,32,11,5,1,1,50,54.52529907,-2.32302999
1469,Brougham,Cumbria,Military,Pennines,20,7,0,1,0,28,54.64690018,-2.6751101
1470,Arnside,Cumbria,PAS Rural,,21,30,0,0,0,51,54.18970108,-2.83956003
1471,Natland,Cumbria,Military,Pennines,24,4,0,0,0,28,54.29650116,-2.73432994
1472,Wigton,Cumbria,PAS rural,,26,1,0,0,0,27,54.82310104,-3.16307998
1473,Helsington,Cumbria,Military,Pennines,87,38,4,2,2,133,54.29660034,-2.78664994
1474,Westward,Cumbria,Military,Pennines,39,4,0,2,0,45,54.79669952,-3.11636996
1475,Burton-in-Kendal,Cumbria,PAS Rural,,13,27,3,3,0,46,54.18239975,-2.71148992
1476,Holme_St_Cuthbert,Cumbria,PAS Rural,,72,27,3,4,1,107,54.81169891,-3.3940599
1477,Muncaster,Cumbria,Military,Pennines,50,1,0,1,0,52,54.35900116,-3.33219004
1478,Great_Salkeld,Cumbria,PAS Rural,,27,1,1,6,0,35,54.71590042,-2.71181989
1479,Hesket,Cumbria,Military,Pennines,76,12,1,2,0,91,54.78229904,-2.83418012
1483,Papcastle,Cumbria,Military,Pennines,131,11,1,3,0,146,54.67649841,-3.39141011
1786,Derby,Derbyshire,Nucleated,Defended vici,83,101,31,59,7,281,52.923032,-1.4772292
1787,Derwent,Derbyshire,Nucleated,Undefended,15,20,0,1,0,36,52.942866,-1.4479086
1788,Brassington,Derbyshire,Rural,Farmstead,5,25,2,2,2,36,53.09560013,-1.67350996
2063,Exeter,Devon,Urban,Civitas capital,649,419,95,478,135,1776,50.722579,-3.5325964
2064,Halberton,Devon,PAS Rural,,12,27,16,16,1,72,50.89550018,-3.41798997
2065,Ipplepen,Devon,Nucleated,Undefended,73,8,16,10,6,113,50.4856987,-3.63328004
2066,Denbury_and_Torbryan,Devon,PAS Rural,,25,9,0,6,45,85,50.50329971,-3.66022992
2067,Uplyme,Devon,Rural,Villa,11,7,3,6,2,29,50.73709869,-2.9621501
2068,Broad_Clyst,Devon,PAS Rural,,20,5,2,4,1,32,50.77970123,-3.42883992
2069,Salcombe,Devon,PAS Rural,,31,0,0,0,0,31,50.23880005,-3.77919006
2070,South_Brent,Devon,PAS Rural,,10,13,2,13,6,44,50.44260025,-3.84691
2071,Stoke_Gabriel,Devon,PAS Rural,,36,1,2,7,1,47,50.4090004,-3.61352992
2072,Cullompton,Devon,PAS Rural,,25,1,0,1,0,27,50.8429985,-3.36926007
2490,Dorchester,Dorset,Urban,Civitas capital,168,883,88,771,539,2449,50.71170044,-2.44205999
2491,Tarrant_Hinton,Dorset,Rural,Villa,55,111,66,225,22,479,50.89910126,-2.09835005
2492,Alton_Pancras,Dorset,PAS Rural,,2,12,0,12,10,36,50.82569885,-2.43243003
2493,Frampton,Dorset,PAS rural,,41,84,40,55,8,228,50.74150085,-2.53740001
2494,Corfe_Castle,Dorset,Rural,Villa,37,109,38,112,19,315,50.63389969,-2.04803991
2495,Charlton_Marshall,Dorset,PAS Rural,,6,65,33,89,114,307,50.82460022,-2.17085004
2496,Sixpenny_Handley,Dorset,Nucleated,Undefended,70,107,33,75,32,317,50.95489883,-2.02385998
2497,Pentridge,Dorset,Rural,,53,156,25,526,74,834,50.96224,-1.9493511
2498,Bradford_Peverell,Dorset,PAS Rural,,14,59,19,42,26,160,50.72850037,-2.49128008
2499,Piddletrenthide,Dorset,PAS Rural,,29,36,19,23,7,114,50.80039978,-2.41183996
2500,Gussage_All_Saints,Dorset,PAS Rural,,35,52,19,95,55,256,50.90430069,-1.99013996
2501,Gussage_St._Michael,Dorset,PAS Rural,,16,60,17,69,14,176,50.91630173,-2.02534008
2502,Puddletown,Dorset,PAS Rural,,9,23,14,35,26,107,50.73759842,-2.37073994
2503,Winterborne_St._Martin,Dorset,PAS Rural,,14,15,14,63,8,114,50.6957016,-2.49758005
2504,Chickerell,Dorset,PAS Rural,,12,24,13,62,14,125,50.62829971,-2.50248003
2505,Portesham,Dorset,PAS Rural,,13,25,11,18,22,89,50.6617012,-2.51922011
2506,Halstock,Dorset,Rural,Villa,20,83,11,38,15,167,50.87260056,-2.66593003
2507,Burleston,Dorset,PAS rural,,26,50,11,17,13,117,50.75659943,-2.31724
2508,Spetisbury,Dorset,PAS Rural,,52,29,11,34,12,138,50.81639862,-2.13601995
2509,Powerstock,Dorset,PAS Rural,,7,11,10,16,7,51,50.76620102,-2.68592
2510,Fifehead_Magdalen,Dorset,PAS rural,,5,27,9,24,1,66,50.9864006,-2.33237004
2511,Wimborne_St._Giles,Dorset,PAS Rural,,12,10,9,23,19,73,50.90909958,-1.94324005
2512,Cheselbourne,Dorset,PAS Rural,,9,14,8,5,1,37,50.80419922,-2.34262991
2513,Gillingham,Dorset,Nucleated,Undefended,13,16,8,22,6,65,51.04729843,-2.28098011
2514,Long_Bredy,Dorset,PAS rural,,5,24,7,26,30,92,50.72190094,-2.60911989
2515,Affpuddle_and_Turnerspuddle,Dorset,Rural,Farmstead,6,19,7,34,31,97,50.72750092,-2.26834989
2516,Bere_Regis,Dorset,Nucleated,Undefended,22,6,7,2,13,50,50.7417984,-2.21343994
2517,Marnhull,Dorset,PAS Rural,,4,9,6,17,12,48,50.96829987,-2.30039001
2518,Maiden_Newton,Dorset,PAS Rural,,4,7,6,13,5,35,50.76929855,-2.55850005
2519,Stalbridge,Dorset,PAS Rural,,1,10,4,9,2,26,50.95249939,-2.38158989
2520,Blandford_St._Mary,Dorset,PAS Rural,,2,20,4,16,10,52,50.83710098,-2.18379998
2521,Tarrant_Crawford,Dorset,PAS rural,,2,15,4,9,6,36,50.8268013,-2.1094501
2522,Puncknowle,Dorset,Rural,Temple,3,7,4,21,33,68,50.68790054,-2.65155005
2523,Tolpuddle,Dorset,PAS Rural,,6,5,4,9,4,28,50.7533989,-2.29050994
2524,Pamphill,Dorset,PAS Rural,,10,45,4,20,4,83,50.82030106,-2.03116989
2525,Sandford_Orcas,Dorset,PAS Rural,,0,7,3,23,13,46,50.9858017,-2.53974009
2526,Sherborne,Dorset,PAS Rural,,1,5,3,10,10,29,50.95000076,-2.52413988
2527,Ashmore,Dorset,PAS rural,,5,9,3,13,2,32,50.95420074,-2.13163996
2528,South_Perrott,Dorset,Rural,Temple,11,27,3,33,40,114,50.85329819,-2.74732995
2529,Stinsford,Dorset,PAS Rural,,36,8,2,8,3,57,50.7303009,-2.41204
2530,Weymouth,Dorset,Rural,Temple,5,1,1,8,10,25,,
2531,West_Stour,Dorset,PAS Rural,,7,17,1,15,2,42,51.00279999,-2.31080008
2532,Iwerne_Minster,Dorset,PAS rural,,7,8,1,9,2,27,50.92900085,-2.18507004
2533,Loders,Dorset,PAS Rural,,5,7,3,7,3,25,50.74240112,-2.70388007
2534,Dewlish,Dorset,Rural,Villa,12,24,1,40,32,109,50.7806015,-2.33166003
2757,Hayton,East Riding of Yorkshire,Nucleated,Undefended,169,1309,231,1465,1343,4517,53.90050125,-0.73337001
2758,Shipton_Thorpe,East Riding of Yorkshire,Nucleated,Undefended,111,426,126,1063,460,2186,53.87689972,-0.70525998
2759,Rudston,East Riding of Yorkshire,PAS Rural,,86,661,75,262,209,1293,54.09680176,-0.33296001
2760,Preston,East Riding of Yorkshire,PAS Rural,,35,37,28,72,4,176,53.75320053,-0.2053
2761,Thwing,East Riding of Yorkshire,PAS Rural,,32,51,24,53,39,199,54.1230011,-0.41238001
2762,Fangfoss,East Riding of Yorkshire,PAS Rural,,18,31,20,75,30,174,53.96419907,-0.84052002
2763,Welton,East Riding of Yorkshire,PAS Rural,,20,92,20,121,49,302,53.73590088,-0.52829999
2764,Boynton,East Riding of Yorkshire,PAS Rural,,4,1,0,2,30,37,54.10070038,-0.25795001
2765,Yapham,East Riding of Yorkshire,PAS Rural,,32,63,19,112,53,279,53.95500183,-0.79291999
2766,Ellerker,East Riding of Yorkshire,Urban,Civitas capital,68,147,19,88,21,343,53.75030136,-0.60574001
2767,Fridaythorpe,East Riding of Yorkshire,PAS Rural,,10,22,18,21,23,94,54.02280045,-0.66035998
2768,Walkington,East Riding of Yorkshire,Rural,Temple,5,25,17,54,55,156,53.81809998,-0.50615001
2769,Barmby_Moor,East Riding of Yorkshire,PAS Rural,,25,37,16,46,20,144,53.93190002,-0.82751
2770,Brantingham,East Riding of Yorkshire,PAS Rural,,42,63,16,113,24,258,53.74110031,-0.58060998
2771,Market_Weighton,East Riding of Yorkshire,Nucleated,Undefended,29,60,15,105,44,253,53.85599899,-0.67101002
2772,Langtoft,East Riding of Yorkshire,PAS Rural,,24,92,14,44,26,200,54.08990097,-0.45962
2773,Wilberfoss,East Riding of Yorkshire,PAS Rural,,29,65,14,64,35,207,53.95199966,-0.87582999
2774,Bridlington,East Riding of Yorkshire,PAS Rural,,7,16,13,24,9,69,54.09939957,-0.19566999
2775,Newbald,East Riding of Yorkshire,PAS Rural,,15,45,13,47,32,152,53.82490158,-0.59785998
2776,Wetwang,East Riding of Yorkshire,PAS rural,,11,16,12,22,5,66,54.01940155,-0.58691001
2777,Middleton,East Riding of Yorkshire,PAS Rural,,11,27,11,43,86,178,53.92610168,-0.58977997
2778,Burton_Fleming,East Riding of Yorkshire,PAS Rural,,10,24,9,46,25,114,54.13270187,-0.33971
2779,Paull,East Riding of Yorkshire,PAS Rural,,10,8,9,15,7,49,53.69070053,-0.1732
2780,Bishop_Burton,East Riding of Yorkshire,PAS Rural,,13,12,9,17,7,58,53.84149933,-0.51406002
2781,Pocklington,East Riding of Yorkshire,PAS Rural,,37,67,9,4,41,158,53.92539978,-0.77599001
2782,Elloughton-cum-Brough,East Riding of Yorkshire,PAS Rural,,7,19,8,22,11,67,53.73109818,-0.56217998
2783,North_Cave,East Riding of Yorkshire,PAS Rural,,6,17,7,21,7,58,53.77479935,-0.65559
2784,Skirpenbeck,East Riding of Yorkshire,PAS Rural,,12,16,7,24,11,70,54.00640106,-0.86558002
2785,Londesborough,East Riding of Yorkshire,PAS Rural,,4,9,6,19,9,47,53.90159988,-0.66703999
2786,Kilham,East Riding of Yorkshire,PAS Rural,,15,36,6,30,32,119,54.07749939,-0.39214
2787,South_Cave,East Riding of Yorkshire,PAS Rural,,9,16,4,7,4,40,53.76679993,-0.61128002
2788,Bainton,East Riding of Yorkshire,PAS Rural,,9,8,4,10,7,38,53.95999908,-0.52955002
2789,Catton,East Riding of Yorkshire,PAS Rural,,11,10,4,4,1,30,53.96469879,-0.89551002
2790,Allerthorpe,East Riding of Yorkshire,PAS Rural,,8,10,3,28,1,50,53.9151001,-0.82042998
2791,Goodmanham,East Riding of Yorkshire,Nucleated,Undefended,6,15,2,40,10,73,53.8871994,-0.62568998
2792,Everingham,East Riding of Yorkshire,PAS rural,,7,11,2,11,3,34,53.86899948,-0.76063001
2793,Nafferton,East Riding of Yorkshire,PAS Rural,,8,18,2,14,8,50,54.0359993,-0.41170999
2794,Millington,East Riding of Yorkshire,PAS Rural,,2,6,1,10,9,28,53.97520065,-0.74053001
2795,North_Dalton,East Riding of Yorkshire,PAS Rural,,7,22,1,21,17,68,53.95759964,-0.59586
2796,Driffield,East Riding of Yorkshire,PAS Rural,,11,18,1,12,20,62,54.01050186,-0.43919
2928,Kingston_near_Lewes,East_Sussex,PAS Rural,,9,7,13,11,0,40,50.85179901,-0.03892
2929,Eastbourne,East_Sussex,Rural,Farmstead,16,14,9,26,5,70,50.766442,0.27812599
