objectid,Parish,County,Major social category,Category sub group,Quantity_Period_A (To AD 260),Quantity_Period_B  (AD 260-296),Quantity_Period_C (AD 296-330),Quantity_Period_D (AD 330-364),Quantity_Period_E (AD 364-402),Total quantity (ABCDE),lat,long
10474,Owersby,West Lindsey,PAS rural,,6,6,1,11,3,27,53.44279861,-0.41139001
10475,Dunholme,West Lindsey,PAS Rural,,6,4,1,9,5,25,53.30199814,-0.45157
10476,Sturton_by_Stow,West Lindsey,PAS Rural,,22,4,1,18,9,54,53.31169891,-0.66711003
10621,Chichester,West_Sussex,Urban,Civitas capital,229,238,49,254,82,852,50.84460068,-0.78302002
10622,Angmering,West_Sussex,PAS Rural,,37,43,22,97,19,218,50.84629822,-0.48484001
10623,Eartham,West_Sussex,PAS Rural,,53,181,19,33,16,302,50.87639999,-0.67233002
10624,Patching,West_Sussex,PAS Rural,,64,18,18,14,10,124,50.85649872,-0.461
10625,Lavant,West_Sussex,PAS Rural,,19,52,17,30,10,128,50.87070084,-0.7845
10626,Parham,West_Sussex,Nucleated,Defended vici,50,38,16,50,38,192,50.9197998,-0.51435
10627,Lower_Beeding,West_Sussex,Rural,Temple,57,9,15,6,9,96,51.02799988,-0.25354999
10628,Fishbourne,West_Sussex,Rural,Villa,227,105,15,14,3,364,50.8368988,-0.81910002
10629,Harting,West_Sussex,PAS Rural,,16,33,13,15,11,88,50.97050095,-0.89045
10630,Appledram,West_Sussex,PAS Rural,,6,9,0,12,6,33,50.81529999,-0.80870998
10631,Boxgrove,West_Sussex,PAS Rural,,20,49,10,7,2,88,50.87110138,-0.70868999
10632,Bramber,West_Sussex,PAS Rural,,5,2,8,8,2,25,50.87459946,-0.33357999
10633,West_Dean,West_Sussex,Nucleated,Undefended,24,35,8,164,15,246,50.91419983,-0.79728001
10634,Adur,West_Sussex,Rural,Villa,25,4,8,10,11,58,50.835098,-0.41837746
10635,Bury,West_Sussex,PAS Rural,,2,9,7,13,0,31,50.92440033,-0.57173002
10636,Storrington_and_Sullington,West_Sussex,PAS Rural,,5,19,6,3,0,33,50.91590118,-0.4551
10637,Hassocks,West_Sussex,Rural,,18,15,6,11,0,50,50.92169952,-0.1397
10638,Slinfold,West_Sussex,PAS rural,,27,8,6,5,1,47,51.06990051,-0.4032
10639,Amberley,West_Sussex,PAS Rural,,3,29,5,17,11,65,50.90319824,-0.53004003
10640,Compton,West_Sussex,PAS rural,,9,26,5,7,7,54,50.9219017,-0.8962
10641,Yapton,West_Sussex,PAS Rural,,40,8,5,5,1,59,50.81750107,-0.62050003
10642,Funtington,West_Sussex,PAS Rural,,11,11,4,30,28,84,50.86819839,-0.84715003
10643,Bignor,West_Sussex,Rural,Villa,14,10,4,3,1,32,50.91040039,-0.60993999
